"Figure 2. Change in Annual Heating Degree Days by State, 1955-2015 Versus 1895-1954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: NOAA, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web update: August 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: heating degree days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year/Trend,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
TREND,80.7057377,-188.0836066,33.55027322,-349.7237705,-304.4953552,-347.9748634,-239.1371585,-52.1579235,1.842349727,-176.7953552,-163.786612,-92.5363388,-90.55874317,-104.4371585,13.28060109,55.08114754,-421.8863388,-200.3814208,-324.8374317,-303.6284153,-374.223224,91.29699454,-68.56256831,-302.5311475,-175.1281421,-201.2685792,-349.0213115,-366.165847,-186.2002732,-321.3699454,-26.91557377,-405.1172131,-134.4562842,8.64863388,-286.7502732,-179.1546448,-392.279235,-29.12650273,-255.2808743,47.58306011,-49.02978142,-252.8478142,-335.2669399,-87.92568306,-200.2540984,9.696448087,-218.4521858,-364.8778689
1910,2941,1961,3492,3291,6901,6507,5168,1099,3208,7018,6588,6207,7051,4894,4932,1742,8339,5160,6794,7334,8811,2548,5204,8505,6376,3560,8032,6002,4445,6720,3820,9327,6324,3497,5794,6341,6522,3009,7702,4181,1923,6991,8626,4765,6115,5476,7931,8152
1911,2348,2372,3120,3837,7556,6551,4981,591,2664,7852,6233,5755,6990,5035,4296,1320,8599,4954,6831,7040,9147,2029,4970,9707,6606,4193,8097,5842,4883,6624,3449,10256,5794,3418,6339,6041,6560,2594,8164,3483,1821,7747,8644,4473,6492,4900,7695,9021
1912,3164,2546,4098,3731,8522,6814,5321,833,3353,7738,7196,6693,7853,5844,5219,2158,8887,5363,7003,8032,9726,2948,5912,9488,7340,4146,8436,6112,5527,6974,3915,10178,6641,4269,5951,6498,6748,3146,8506,4386,2522,8085,9067,4909,6022,5694,8756,9685
1913,2614,2600,3458,3637,8222,5913,4367,612,2827,7753,6185,5679,6840,5249,4343,1680,7983,4435,6205,6955,8974,2364,5130,9562,6720,4169,7474,5148,5454,6024,3265,9713,5750,3900,6111,5568,5959,2595,8018,3700,2235,7851,7937,4081,6374,4934,7766,9320
1914,3051,2048,3701,3202,7568,6853,5361,949,3282,7193,6498,6165,7007,5119,4880,2029,9042,5362,7130,7526,9099,2769,5312,8856,6619,3683,8563,6219,4835,7055,3947,9587,6340,3796,5598,6567,6799,3157,7902,4147,2298,7265,9189,4928,5751,5642,8043,8664
1915,2954,2496,3578,3433,7895,6354,5019,1099,3195,7055,6471,5966,7055,5164,4598,2001,8028,5098,6577,7379,8845,2667,5155,8868,6866,3804,7775,5763,5336,6521,3766,9556,6165,3708,5524,6167,6383,3079,8249,3969,2167,7363,8270,4687,5627,5340,7918,8919
1916,2656,2303,3421,3763,7972,6926,5301,778,2920,8004,6754,6127,7557,5490,4722,1603,8694,5348,7202,7657,10119,2397,5376,10348,7192,4148,8498,6228,4746,7032,3520,11061,6362,3798,6507,6461,6801,2704,9008,3914,1851,7934,8958,4672,6896,5378,8569,9610
1917,3079,2388,3918,3631,8088,7592,5867,914,3365,7706,7506,6908,8171,5728,5469,1926,9470,5923,7846,8600,10600,2772,5962,9609,7424,4226,9252,6811,5032,7751,4157,11001,7236,4126,5922,7116,7450,3205,9155,4498,2113,8090,9793,5364,6228,6224,9335,9473
1918,2637,2423,3593,3486,7849,6749,5163,810,2859,7091,6575,6050,6944,5323,4694,1733,8842,5160,7046,7466,8986,2433,5332,8922,6586,3859,8487,6013,5160,6866,3564,9636,6176,3904,5579,6216,6733,2740,7979,3862,2171,7421,8932,4701,5816,5344,7985,8934
1919,2625,2576,3453,3642,7959,6361,4807,761,2723,7602,6451,5792,7190,5483,4424,1705,8411,4869,6617,7159,9456,2397,5250,9303,7019,4101,7888,5612,5293,6452,3394,10291,5918,3914,6238,5879,6423,2577,8438,3738,2212,7646,8450,4426,6375,5134,8013,8979
