"Figure 2. Change in Annual Heating Degree Days by State, 1955-2015 Versus 1895-1954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: NOAA, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web update: August 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: heating degree days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year/Trend,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
TREND,80.7057377,-188.0836066,33.55027322,-349.7237705,-304.4953552,-347.9748634,-239.1371585,-52.1579235,1.842349727,-176.7953552,-163.786612,-92.5363388,-90.55874317,-104.4371585,13.28060109,55.08114754,-421.8863388,-200.3814208,-324.8374317,-303.6284153,-374.223224,91.29699454,-68.56256831,-302.5311475,-175.1281421,-201.2685792,-349.0213115,-366.165847,-186.2002732,-321.3699454,-26.91557377,-405.1172131,-134.4562842,8.64863388,-286.7502732,-179.1546448,-392.279235,-29.12650273,-255.2808743,47.58306011,-49.02978142,-252.8478142,-335.2669399,-87.92568306,-200.2540984,9.696448087,-218.4521858,-364.8778689
1955,2742,2415,3426,3607,7712,6364,5011,748,2951,8045,6368,5850,7197,5094,4619,1652,8344,5010,6674,6943,9267,2408,5173,9902,6873,4216,7906,5719,4958,6477,3620,10067,5957,3637,6298,6130,6366,2798,8233,3926,1938,8029,8471,4626,6915,5395,7939,9096
1956,2583,2282,3322,3327,7340,6461,4872,782,2759,7412,6097,5635,6951,4849,4382,1586,8531,4843,6806,7165,9163,2282,4936,9028,6452,3895,8203,5687,4863,6617,3385,9869,5924,3561,5878,6132,6432,2575,8036,3666,1908,7369,8724,4375,6278,5165,7915,8558
1957,2528,2129,3383,3294,7666,5987,4776,619,2710,7477,6415,5840,7096,5221,4457,1515,7878,4790,6227,7165,9093,2245,5196,9223,6727,3949,7559,5425,4804,6182,3376,9527,5957,3841,5705,5929,5886,2574,8102,3680,1940,7518,8111,4375,6086,5121,8009,8879
1958,3421,2156,4010,2860,7247,6809,5519,1076,3509,6656,6783,6432,7198,5359,5396,2266,8480,5472,7037,7430,8802,3102,5577,8415,6748,3650,8316,6179,4932,6962,4214,9198,6670,4093,4797,6708,6708,3387,7764,4615,2472,6912,8917,5175,5123,6090,8062,8310
1959,2888,2085,3632,2748,7625,6089,4663,722,2991,7248,6581,5914,7392,5292,4631,1979,8177,4688,6441,7257,9107,2650,5336,9274,6863,3646,7737,5382,4896,6326,3525,9766,5974,3904,5562,5892,6117,2777,8186,3968,2320,7224,8297,4358,6114,5247,8269,8791
1960,3338,2420,4017,3230,7658,6376,5222,917,3485,7445,6782,6366,7518,5560,5260,2172,7991,5283,6661,7360,9139,3029,5662,9077,7219,3880,7902,5840,5160,6572,4094,9750,6457,4137,5684,6418,6365,3284,8400,4579,2403,7372,8415,4996,6139,5902,8085,8662
1961,2881,2245,3622,3186,7810,6400,5184,712,3062,7125,6472,6061,7242,5406,4827,1879,8183,5153,6703,7108,8771,2610,5407,8606,6867,3871,7871,5838,5106,6564,3717,9312,6176,3866,5419,6304,6379,2855,7989,4049,2188,7418,8428,4751,5786,5541,7815,8731
1962,2986,2161,3636,3315,7373,6718,5305,844,3182,7285,6730,6235,7416,5149,4947,1937,8675,5304,7044,7442,9117,2680,5462,8879,6742,3736,8355,6016,4750,6839,3888,9547,6413,3781,5706,6515,6719,3029,8009,4192,2124,7338,8876,4930,5958,5687,8194,8537
1963,3258,2186,3697,3278,7053,6596,5279,961,3402,6967,6793,6445,7181,4992,5116,2198,8522,5290,6836,7518,8829,2959,5384,8591,6388,3758,8140,5977,4752,6808,4022,8970,6610,3812,5598,6570,6469,3190,7537,4424,2291,7189,8825,4949,5816,5974,8215,8179
1964,2924,2717,3436,3509,7833,6306,4928,748,3134,7915,6139,5752,6743,4906,4558,1920,8303,4915,6633,6865,8744,2631,4973,9283,6491,4178,8022,5624,5393,6371,3652,9600,5905,3659,6014,6119,6263,2882,7896,3972,2143,8161,8410,4569,6424,5384,7589,9141
1965,2760,2247,3305,3371,7584,6508,5159,685,2970,7180,6335,5823,7256,4842,4574,1688,8533,5071,6849,7256,9609,2465,4975,9273,6759,3812,8152,5855,4903,6683,3674,10292,6033,3488,5471,6264,6501,2802,8295,3898,1932,7507,8730,4671,5826,5380,8127,8822
1966,3065,2332,3728,3131,7508,6462,5281,905,3312,6949,6708,6297,7402,5239,5115,2043,8040,5301,6700,7434,9575,2778,5437,8863,6924,3724,8000,5901,5026,6665,4026,10265,6473,3914,5381,6463,6341,3144,8411,4308,2275,7419,8554,5020,5769,5861,8265,8603
1967,2787,2273,3353,3373,7414,6711,5360,626,2941,7040,6597,6071,7144,4884,4628,1746,8639,5255,7033,7425,9361,2502,5122,8817,6535,3863,8310,6049,4773,6809,3707,9755,6229,3493,5378,6466,6656,2783,7947,3898,1923,7514,8795,4814,5617,5547,8263,8675
1968,3363,2257,3915,3138,7722,6500,5121,1044,3514,7283,6379,6125,6982,5272,5070,2252,8468,5130,6837,7118,8754,3050,5464,9153,6674,3689,8173,5835,5089,6678,4031,9564,6306,4014,5466,6338,6432,3283,7966,4448,2342,7804,8699,4868,5916,5800,7678,8976
1969,3277,2201,3780,3276,7545,6432,5240,1033,3463,7240,6748,6308,7527,5444,5172,2003,8050,5253,6614,7340,9243,2878,5563,9360,7149,3801,7867,5833,4867,6615,4120,10003,6419,3937,5700,6347,6312,3296,8426,4478,2107,7416,8472,5010,6112,5894,8203,8641
1970,3106,2333,3757,3168,7650,6560,5157,956,3195,7327,6575,6109,7329,5268,4826,2057,8405,5140,6847,7280,9478,2844,5370,9251,6783,3858,8057,5840,5115,6690,3723,10205,6126,3966,5599,6254,6506,2933,8437,4180,2194,7593,8679,4730,6103,5433,8119,8933
1971,2797,2478,3411,3688,7699,6348,4859,663,2936,7585,6233,5844,7104,5131,4574,1631,8362,4872,6679,7026,9186,2463,5050,9285,6656,4153,8041,5601,5080,6513,3547,9832,6023,3665,6053,6095,6264,2731,8232,3914,1743,7897,8614,4509,6344,5373,7986,8989
1972,2719,2219,3617,3277,7564,6609,5071,556,2836,7456,6941,6267,7731,5352,4745,1716,8784,5080,6969,7669,9930,2483,5450,9389,6947,3863,8387,5863,4742,6828,3573,10342,6356,3902,5749,6373,6511,2636,8611,3965,2078,7398,8960,4607,6336,5466,8690,8901
1973,2737,2530,3375,3393,7852,5803,4584,755,2920,7126,5871,5431,6657,5026,4366,1826,7726,4602,6085,6582,8348,2457,4935,8823,6497,3936,7383,5182,5277,5978,3489,8907,5514,3726,5493,5665,5695,2722,7609,3773,2105,7909,7870,4347,5964,5021,7317,9008
1974,2510,2313,3283,3294,7465,6279,4697,571,2611,7136,6271,5811,6981,4966,4357,1547,8417,4674,6592,7236,9009,2274,5030,8613,6333,3784,7971,5460,4911,6473,3236,9607,5945,3567,5540,5961,6177,2397,7580,3666,1918,7408,8560,4216,5857,5101,7944,8550
1975,2679,2532,3511,3609,7758,6031,4618,573,2772,7753,6240,5720,7148,5167,4487,1681,8110,4711,6330,6957,9138,2405,5123,9680,6857,4058,7711,5279,5285,6156,3361,9701,5845,3793,5827,5871,5929,2528,8243,3819,1976,8091,8175,4371,6291,5172,7848,9117
1976,3266,2196,3705,3030,7401,6552,5083,861,3340,7446,6809,6260,7196,5063,5080,2114,8463,5118,6791,7599,9132,2897,5361,8588,6479,3685,8233,5864,5164,6793,3808,9236,6472,3803,5720,6442,6455,2995,7726,4382,2256,7565,8848,4738,6044,5808,8391,8527
1977,3156,2052,3661,3049,6998,6329,4955,965,3309,7203,6549,6198,6978,4911,5023,2052,8182,5020,6577,7183,8760,2822,5302,8893,6278,3574,7831,5666,4764,6478,3851,9201,6318,3651,5595,6230,6183,3047,7757,4294,2104,7106,8322,4707,6042,5675,7917,8295
1978,3309,2188,4152,3135,7657,6790,5431,919,3344,7248,7120,6765,7894,5812,5403,2297,8605,5414,7064,7745,9437,3052,5971,9624,7545,3749,8380,6115,4755,6971,4003,10190,6841,4412,5567,6669,6727,3126,8853,4550,2525,7361,8987,5020,5948,5994,8500,9184
1979,3179,2409,4109,3200,7860,6092,5005,829,3185,7415,7082,6545,7843,5791,5137,2228,7764,5059,6323,7516,9761,2987,5932,9274,7334,3882,7602,5567,5150,6402,3737,10537,6466,4378,5460,6219,5954,2927,8687,4386,2446,7703,8128,4730,5863,5702,8589,8986
1980,3166,1926,3827,2932,7306,6499,5182,871,3287,6992,6699,6367,7086,5186,5106,2038,8501,5186,6858,7585,8936,2860,5432,8720,6492,3425,8241,5855,4799,6773,3940,9155,6557,3846,5533,6425,6463,3129,7605,4337,2130,7153,8794,4868,5882,5833,8119,8350
1981,3119,1816,3517,2808,6681,6336,5155,1041,3339,6707,6282,6084,6545,4631,4955,1948,7818,5140,6634,7221,8272,2703,4985,8179,5932,3263,7734,5762,4420,6526,4037,8405,6314,3504,5276,6326,6317,3181,6994,4260,1917,6691,8249,4922,5590,5851,7646,7681
1982,2613,2281,3570,3422,7659,6336,4928,509,2777,7799,6636,6066,7496,5361,4534,1622,8341,4923,6656,7253,9391,2356,5417,9625,7072,4094,8060,5627,4972,6494,3526,10215,6018,3837,5880,6093,6271,2623,8472,3865,2002,7997,8485,4536,6135,5253,8228,9021
1983,3272,2265,4054,3051,7757,6026,4839,883,3389,7092,6438,5981,7268,5664,4904,2218,7670,4948,6241,7082,8908,2984,5560,8887,7075,3735,7497,5462,5017,6233,3882,9322,6003,4291,5433,6037,5914,3146,8163,4339,2396,7386,8123,4724,5710,5530,7874,8773
1984,2742,2223,3489,3053,7812,6120,4860,719,2888,7993,6329,5957,6984,5148,4615,1725,7947,4842,6387,7127,8753,2444,5168,9000,6661,3900,7652,5496,5017,6292,3497,9242,6074,3763,5790,6045,5996,2675,7924,3900,1925,8274,8160,4459,6124,5314,7757,9029
1985,2893,2247,3729,3271,7789,6118,4568,786,2888,8565,6645,5965,7550,5609,4693,1916,8347,4597,6527,7125,9428,2657,5615,9794,7035,3965,7925,5351,4866,6300,3378,10035,5986,4102,6228,5871,6130,2624,8509,4048,2218,8005,8433,4277,6669,5255,8195,9268
1986,2603,1818,3260,2717,6882,6125,4763,606,2686,6835,6040,5625,6744,4549,4347,1650,8225,4798,6465,6919,8565,2350,4823,8397,5975,3218,7800,5424,4583,6239,3336,8893,5663,3425,5167,5897,6108,2488,7471,3711,1822,6969,8285,4398,5571,5126,7641,8129
1987,2800,2289,3400,3017,7246,6119,4910,738,3072,6575,5655,5439,5980,4631,4451,1855,8048,4855,6518,6432,7402,2532,4684,7987,5695,3680,7751,5489,5123,6233,3802,7803,5573,3646,5023,5888,6147,2940,6676,3875,2063,7056,8243,4644,5303,5260,6858,8095
1988,3033,2056,3724,2888,7369,6432,5183,797,3238,6858,6482,6153,7016,5059,4955,1903,8101,5173,6691,7161,8885,2725,5284,8173,6344,3567,7970,5844,4901,6546,3994,9036,6249,3860,5304,6309,6333,3100,7648,4301,2043,7243,8464,4905,5644,5694,7859,8195
1989,2908,1880,3721,2929,7291,6447,5105,673,2959,7375,6757,6260,7373,5235,4889,1891,8586,5122,6805,7518,9456,2644,5468,9103,6709,3484,8192,5779,4494,6672,3690,9893,6351,3965,5528,6337,6425,2751,8171,4152,2161,7287,8731,4759,5808,5604,8367,8586
1990,2225,2195,3035,3067,7206,5364,3954,430,2341,7042,5607,5116,6377,4614,3886,1395,7506,3936,5762,6405,8202,2025,4552,8576,6013,3752,7110,4677,4802,5555,2764,8649,5138,3356,5505,5167,5383,2051,7232,3305,1706,7185,7574,3639,5755,4488,7171,8361
1991,2548,2176,3276,3020,7235,5480,4237,545,2655,7166,5909,5333,6830,4690,4137,1666,7681,4270,5830,6514,8637,2334,4808,8584,6180,3721,7217,4884,4904,5668,3149,8844,5338,3497,5366,5405,5471,2442,7381,3566,1938,7542,7748,3985,5706,4752,7545,8392
1992,2811,2208,3339,2714,7141,6379,4888,673,2978,6469,6096,5676,6686,4667,4493,1733,8383,4906,6752,7132,8555,2485,4825,8148,6047,3535,8098,5664,4943,6569,3547,8944,5886,3391,4646,6136,6327,2744,7415,3897,1878,6868,8694,4546,5184,5318,7727,8027
1993,3021,2092,3924,2912,7783,6271,4901,744,3161,7765,6576,6131,7545,5636,4844,1956,8351,5004,6587,7367,9350,2746,5672,9425,7207,3834,7941,5598,4759,6536,3721,9930,6118,4163,5695,6129,6191,2929,8549,4167,2141,7764,8602,4652,5961,5369,8121,9258
1994,2599,2147,3341,3155,6858,6242,4820,537,2752,6826,6181,5786,6997,4850,4546,1637,8230,4851,6517,7117,8741,2354,4997,8405,6378,3683,7935,5583,4588,6498,3371,9460,6005,3603,5335,6178,6143,2536,7819,3807,1794,6906,8595,4407,5513,5302,7777,7978
1995,2863,1842,3468,2728,7218,6146,4821,774,3010,6803,6577,6038,7270,5116,4756,1737,8094,4925,6452,7259,9078,2522,5318,8766,6583,3271,7750,5518,4393,6332,3673,9738,6226,3618,4997,6110,6004,2832,8024,4049,1809,6914,8248,4599,5362,5505,8055,8415
1996,2996,1747,3733,2648,7188,6272,5017,796,3203,7087,6879,6311,7746,5414,4897,1801,8067,5137,6534,7508,9866,2603,5625,9541,7176,3287,7799,5678,4384,6512,3823,10810,6319,3882,5385,6278,6185,2970,8917,4230,1917,7021,8313,4790,6072,5602,8556,8655
1997,2846,2039,3633,2663,7457,6145,4722,579,2899,6969,6517,6085,7173,5154,4792,1830,8341,4785,6496,7249,8878,2587,5356,8751,6556,3449,7961,5468,4905,6390,3582,9398,6076,3824,5224,6049,6082,2683,7986,4045,2150,7279,8585,4523,5528,5433,7900,8564
1998,2407,2288,3049,3404,6973,5237,3966,558,2503,6760,5161,4779,5984,4575,3855,1518,7177,3973,5561,5769,7414,2136,4473,8253,5880,3928,6751,4536,4615,5348,3037,8461,4857,3376,5276,4944,5237,2311,7088,3344,1732,7248,7194,3783,5311,4495,6418,8138
1999,2451,1851,2972,3053,6766,5617,4385,628,2636,6905,5810,5410,6370,4428,4142,1467,7156,4472,5837,6504,7871,2141,4557,8086,5732,3377,7064,5055,4346,5828,3214,8452,5536,3076,5467,5590,5465,2472,6884,3491,1511,6890,7615,4138,5766,4961,7074,7841
2000,2797,1973,3532,2830,6874,6112,4739,718,3036,6934,6118,5810,6718,4925,4571,1736,7963,4766,6366,6783,8449,2522,5065,8634,6222,3400,7691,5405,4356,6311,3663,9137,5863,3697,5463,5923,6000,2918,7581,3929,1812,6795,8299,4488,5901,5253,7434,8204
2001,2648,2114,3293,2963,6880,5672,4355,634,2679,6880,5730,5260,6532,4632,4218,1661,7562,4423,5965,6277,8104,2386,4765,8252,6008,3484,7274,5024,4508,5787,3211,8761,5342,3489,5362,5518,5570,2426,7474,3691,1908,6828,7696,4125,5825,4922,7030,7997
2002,2767,1997,3513,2943,7232,5698,4256,685,2818,7190,5990,5529,6602,4930,4368,1800,7763,4396,5964,6664,8479,2498,5009,8967,6261,3558,7288,4968,4590,5814,3326,9253,5559,3744,5323,5544,5599,2591,7628,3779,2008,7365,7760,4134,5763,4954,7329,8597
2003,2798,1886,3461,2833,6844,6456,4951,772,2910,6454,6273,5912,6920,4917,4593,1860,8262,4982,6735,7138,8600,2570,5119,8311,6247,3368,8046,5687,4217,6574,3524,9328,6051,3606,5010,6166,6346,2742,7549,3903,1897,6647,8546,4531,5368,5309,7749,8028
2004,2632,2041,3170,2840,6965,6154,4600,708,2764,6766,5907,5525,6547,4641,4237,1655,8188,4639,6449,6780,8449,2337,4803,8293,6003,3507,7716,5278,4633,6244,3399,9195,5691,3340,5010,5775,6110,2642,7206,3598,1776,7122,8329,4264,5245,4959,7447,8042
2005,2684,1892,3149,2812,6836,6178,4750,704,2848,7038,5918,5618,6529,4661,4378,1584,7855,4768,6417,6797,8128,2343,4773,8430,5927,3488,7597,5396,4359,6242,3462,8701,5853,3352,5252,5885,6092,2681,7179,3716,1710,6955,7998,4407,5504,5179,7316,7975
2006,2527,1937,3024,3013,6927,5418,4012,604,2634,6827,5524,5145,6095,4229,4127,1495,7042,4108,5660,6162,7650,2236,4443,8083,5659,3594,6868,4620,4384,5483,3138,8289,5237,3017,5269,5206,5320,2388,6937,3561,1525,7049,7274,3942,5560,4815,6878,7987
2007,2517,1957,3195,2875,7157,5947,4483,558,2608,6733,5927,5458,6745,4855,4142,1563,8049,4536,6267,6560,8300,2221,4834,8179,6256,3421,7674,5143,4546,6085,3119,9014,5556,3535,5490,5678,5866,2351,7440,3494,1857,6861,8181,4087,5846,4900,7300,8000
2008,2802,2000,3618,2859,7456,5908,4416,634,2951,7370,6637,6031,7589,5280,4684,1678,7795,4551,6188,7081,9274,2520,5451,8939,6899,3616,7532,5153,4648,6042,3414,9804,6002,3669,5727,5820,5735,2659,8285,3969,1797,7503,7949,4266,6142,5267,8169,8753
2009,2792,1894,3519,2879,7354,6106,4617,705,2981,7304,6385,5822,7168,5102,4548,1683,8075,4739,6383,7036,8926,2475,5176,8931,6693,3616,7764,5294,4490,6235,3531,9970,5912,3675,5561,5880,5959,2769,8124,3903,1849,7310,8190,4431,5967,5233,7890,8635
2010,3311,2037,3694,3086,7060,5524,4591,1275,3449,6964,6096,5775,6960,5008,4821,2216,6899,4635,5724,6402,8197,2968,5235,8696,6470,3681,6837,5008,4617,5741,3883,9144,5866,3771,5395,5643,5433,3211,7755,4288,2151,7221,7378,4537,5586,5450,7125,8281
2011,2660,2184,3335,3180,7397,5607,4261,613,2749,7434,6032,5490,6825,5025,4256,1693,7468,4352,5866,6734,8474,2406,4991,8851,6503,3848,7189,4880,4674,5762,3240,9296,5566,3590,5851,5475,5480,2516,7912,3668,1831,7555,7576,4035,6214,4845,7522,8655
2012,2202,1781,2725,2739,6400,5030,3861,545,2318,6524,5140,4830,5728,3942,3785,1286,7086,3954,5296,5781,7387,1955,4073,7990,5360,3218,6590,4441,4132,5174,2959,8187,4988,2864,5422,5026,4999,2188,6588,3187,1415,6424,6960,3757,5796,4528,6452,7425
2013,2816,2095,3712,2705,7482,5933,4591,545,2919,7214,6602,5958,7408,5353,4698,1819,7759,4709,6173,7011,9376,2602,5451,8554,6720,3660,7473,5252,4812,6102,3537,10072,5906,3994,5416,5841,5822,2707,8305,4038,2017,7527,7933,4429,5758,5277,8187,8522
2014,3128,1607,3941,2090,7151,6205,4920,719,3165,6519,7149,6563,7745,5305,5012,2098,7971,5085,6399,7674,9629,2879,5695,8601,6697,2934,7798,5619,4311,6402,3716,9834,6454,3941,4736,6304,6016,2939,8193,4279,2092,6556,8310,4701,5262,5613,8679,8247
2015,2451,1794,3300,2308,6670,5958,4498,488,2546,6132,6003,5604,6442,4497,4309,1527,8037,4604,6273,6737,7891,2173,4723,7700,5792,3106,7605,5189,4348,6089,3156,8343,5688,3372,4483,5721,5884,2377,7008,3571,1865,6346,8066,4176,4887,4937,7216,7590
