"Figure 1. Trends in April Snowpack in the Western United States, 1955-2016",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: Mote and Sharp, 2016",,,
Web update: August 2016,,,
Units: percent change,,,
,,,
State,Lat,Long,Trend (%)
CA,38.92,-120.04,-33.4138
CA,38.922,-120.38,-52.9335
CA,36.497,-118.333,-10.2585
CA,37.492,-118.717,-12.424
CA,37.473,-118.717,-10.79
CA,37.45,-118.742,-43.0579
CA,37.32,-118.872,-12.329
CA,36.993,-118.902,-11.1696
CA,35.965,-118.36,-11.815
CA,36.717,-118.737,-6.31603
CA,40.013,-120.293,-33.3558
CA,39,-120.13,-27.4467
CA,39.001,-120.14,-8.81115
CA,38.085,-119.837,-18.3157
CA,37.957,-119.267,-6.19598
CA,41.353,-122.247,-9.21677
CA,36.572,-118.367,-9.93226
CA,37.162,-118.563,-12.0454
CA,41.008,-122.8,-27.1842
CA,36.473,-118.267,-15.0067
CA,38.678,-120.118,-34.0642
CA,40.497,-121.153,-31.7673
CA,37.827,-119.497,-10.2908
CA,38.27,-119.678,-9.96227
CA,38.313,-119.607,-15.3182
CA,38.32,-119.61,-18.8341
CA,38.092,-119.758,-18.7811
CA,39.188,-120.248,-26.9509
CA,39.18,-120.25,-27.4176
CA,36.943,-118.913,-9.49964
CA,41.17,-121.938,-34.2455
CA,41.397,-122.993,-50.6198
CA,41.382,-122.535,-17.4641
CA,39.193,-120.377,-45.4712
CA,38.803,-120.103,-5.4873
CA,37.838,-119.448,-6.99228
CA,40.71,-121.577,-23.8959
CA,39.973,-121.213,-28.7047
CA,37.917,-119.253,6.32302
CA,37.92,-119.25,6.32302
CA,38.88,-119.98,-50.6917
CA,37.873,-119.35,1.26174
CA,36.632,-118.392,-7.45307
CA,37.184,-118.938,-11.1838
CA,38.695,-119.983,-24.4753
CA,38.7,-119.99,-24.4753
CA,38.043,-119.887,-13.2404
CA,38.873,-119.983,-49.467
CA,38.017,-119.717,-19.8311
CA,37.388,-118.903,-12.0569
CA,39.227,-120.402,-40.5528
CA,39.142,-120.225,-41.833
CA,39.14,-120.23,-41.833
CA,40.387,-121.31,-32.7628
CA,39.485,-120.425,-8.61093
CA,39.48,-120.43,-8.61093
CA,39.483,-120.44,-26.4338
CA,39.48,-120.43,-26.4338
CA,41.15,-122.45,-23.9441
CA,38.518,-119.985,-8.66411
CA,38.275,-119.45,-24.3437
CA,38.26,-119.46,-24.178
CA,38.083,-119.633,-8.0386
CA,41.2,-122.833,-8.17206
CA,37.025,-118.908,-13.0047
CA,39.617,-120.492,-23.4112
CO,39.78,-105.78,-12.1824
CO,39.83,-105.75,6.32821
CO,40.62,-105.82,111.236
CO,40.02,-105.57,-16.4768
CO,39.88,-107.6,-30.6964
CO,40.52,-105.57,-20.5305
CO,37.65,-107.81,-49.3501
CO,40.62,-105.83,-39.7599
CO,38.17,-106.6,-14.5087
CO,40.39,-106.6,-15.0025
CO,40.4,-106.6,-25.8853
CO,40.2,-105.57,-10.5518
CO,38.88,-107,-14.2316
CO,37.02,-106.45,25.5164
CO,40.8,-105.77,-26.7986
CO,40.81,-105.77,-8.47692
CO,40.4,-105.63,-12.5127
CO,40.53,-106.78,-17.2824
CO,40.85,-106.97,-14.9932
CO,39.38,-106.2,0.891445
CO,39.52,-105.72,-26.4933
CO,40.08,-106.55,-4.29556
CO,40.15,-106,5.44974
CO,40.4,-105.65,-39.1137
CO,39.36,-106.06,3.89157
CO,40.58,-105.63,-3.68356
CO,39.07,-106.62,-31.9784
CO,39.08,-106.61,-14.2792
CO,37.97,-107.67,-15.7343
CO,39.29,-106.55,-0.838399
CO,37.98,-107.25,-29.5567
CO,40.42,-105.82,-27.7447
CO,40.41,-105.82,-13.9454
CO,39.89,-105.89,-25.5711
CO,37.6,-105.2,-2.61557
CO,37.38,-106.55,-41.7047
CO,40.27,-105.58,-17.3719
CO,40.08,-106.67,-26.7602
CO,40.78,-105.93,-16.8441
CO,39.05,-108.08,-3.03309
CO,39.78,-106.02,3.63226
CO,40.4,-105.83,-24.4691
CO,37.75,-107.69,-18.049
CO,38.52,-106.33,-19.5433
CO,39.3,-106.6,-11.3321
CO,39.3,-106.61,-24.8106
CO,40.04,-105.54,-29.7454
CO,40.28,-105.77,-32.168
CO,39.08,-107.14,-19.356
CO,38.82,-106.58,-25.5541
CO,38.82,-106.59,-16.8119
CO,40.37,-106.1,-18.9134
CO,40.4,-105.85,-0.978376
CO,37.35,-106.55,-27.1245
CO,37.8,-106.8,-33.6573
CO,37.85,-107.17,-42.6238
CO,38.48,-106.33,-15.3202
CO,38.49,-106.34,-8.31992
CO,40.37,-106.74,-9.49311
CO,40.82,-105.65,-18.1503
CO,40.03,-107.28,-35.3561
CO,40.88,-106.05,-15.7906
CO,37.82,-107.12,-46.8316
CO,39.53,-106.22,-0.0688576
CO,37.38,-106.4,-50.2614
CO,39.63,-105.9,-23.045
CO,37.7,-107.78,-35.9256
CO,40.23,-105.92,-26.1883
CO,37.93,-107.8,-2.73022
CO,39.08,-106.53,-6.72137
CO,40.03,-105.58,-22.888
CO,37.48,-106.83,-17.3779
CO,37.49,-106.84,-15.2275
CO,40.07,-105.52,-50.3054
CO,40.2,-105.6,-30.4255
CO,40.35,-106.1,-15.1712
CO,40.35,-106.09,14.754
CO,40.37,-106.77,-9.65331
ID,43.76,-115.24,-23.665
ID,42.1,-114.17,-14.4342
ID,44.3,-115.23,-21.5244
ID,44.95,-116.14,-30.2445
ID,43.74,-113.94,-32.8693
ID,48.35,-116.83,-73.892
ID,48.35,-116.77,-21.2679
ID,44.63,-115.79,-25.4602
ID,44.48,-111.27,-31.4126
ID,43.77,-116.1,-12.5461
ID,42.16,-114.19,-36.0175
ID,42.22,-113.67,-4.35619
ID,45.04,-116.13,-18.3708
ID,44.45,-112.23,-36.3946
ID,43.77,-114.42,-27.8642
ID,43.82,-113.92,-33.1935
ID,44.29,-115.66,-56.2019
ID,44.44,-111.99,-42.8095
ID,43.92,-116.02,-23.4854
ID,44.54,-115.56,-29.5675
ID,43.6,-114.67,-18.1336
ID,42.36,-111.56,-31.3916
ID,42.36,-111.51,-7.26218
ID,46.33,-115.07,-20.9079
ID,42.05,-111.6,-24.6522
ID,43.88,-114.67,-27.6523
ID,43.87,-114.71,-8.47461
ID,43.61,-113.93,-56.1227
ID,42.32,-113.62,31.1798
ID,44.42,-111.39,-14.8242
ID,44.05,-115.44,-33.2375
ID,44.4,-111.9,-29.3407
ID,45.7,-114.62,-44.0082
ID,44.92,-115.95,-34.5315
ID,47.46,-115.71,-37.1269
ID,43.82,-114.26,-32.672
ID,42.18,-114.29,-8.40911
ID,44.47,-114.49,-12.5124
ID,43.92,-115.67,-19.0449
ID,45.67,-113.95,-16.9256
ID,43.93,-115.67,-30.825
ID,48.06,-116.23,-20.7186
ID,43.67,-114.4,-24.0391
ID,43.57,-113.92,-76.6025
ID,42.26,-112.13,-51.1616
ID,42.77,-112.1,-27.7405
ID,46.5,-115.8,-58.7943
ID,44.82,-116.7,-26.1568
ID,46.47,-114.63,-16.6585
ID,45.19,-115.97,-29.0594
ID,42.52,-111.96,-34.9037
ID,46.57,-115.74,-33.1484
ID,42.56,-111.3,-37.8242
ID,43.48,-114.83,-48.0261
ID,42.95,-111.36,-17.4863
ID,42.76,-116.9,-19.0791
ID,45.15,-116,-29.7761
ID,43.55,-111.05,-19.6929
ID,43.86,-114.21,-21.5243
ID,42.31,-111.67,-40.025
ID,42.38,-112.97,-20.897
ID,43.53,-113.77,-65.2434
ID,43.63,-115.44,-23.3556
ID,44.63,-111.32,-30.812
ID,43.8,-114.85,-24.9478
ID,45.07,-116.45,-39.0395
ID,42.76,-112.48,-13.5705
ID,42.14,-111.63,-23.8001
MT,48.57,-115.45,-26.9004
MT,47.96,-115.54,-35.8401
MT,46.1,-113.13,-17.3953
MT,45.17,-113.5,-10.9492
MT,48.37,-114.87,-34.5053
MT,47.7,-112.88,-51.1542
MT,45.17,-109.47,22.4812
MT,46.48,-112.19,-9.83764
MT,47.33,-113.58,-38.2829
MT,45.04,-110.61,-1.40185
MT,46.79,-109.51,17.6544
MT,48.41,-113.95,-25.9859
MT,46.43,-113.06,-45.9963
MT,45.47,-113.1,-16.1572
MT,48.43,-113.94,-28.2806
MT,48.01,-112.82,-38.0064
MT,45.7,-113.95,-18.5206
MT,47.64,-112.94,-30.1155
MT,44.87,-111.34,-37.607
MT,48.5,-114.36,-24.1218
MT,47.58,-113.31,-53.0777
MT,48.96,-114.42,-24.0923
MT,44.59,-111.82,-41.4692
MT,44.59,-111.82,-33.1581
MT,48.33,-114.64,-29.8482
MT,46.87,-113.42,-57.9656
MT,46.87,-113.46,-86.7111
MT,46.9,-113.45,-66.5711
