Figure 2. Change in First Leaf Date Between 1951-1960 and 2006-2015,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: Schwartz, 2016",,
Web update: August 2016,,
Units: days,,
,,
LAT,LONG,Change in first leaf date
30.33,-95.48,0.444444444
33.65,-101.25,-0.8
29.06,-96.23,7.066666667
33.2,-97.11,6.111111111
29.63,-97.06,4.333333333
30.24,-98.91,6
33.12,-98.57,7.25
29.47,-96.94,3.2
32.18,-94.8,7.922222222
34.82,-102.4,3.5
30.71,-95.54,2.1
32.72,-101.95,3.977777778
33.55,-102.38,7.175
30.74,-98.65,-1.375
29.68,-97.66,2.444444444
30.94,-95.92,5.877777778
32.54,-94.35,3.8
28.68,-95.97,6.2
34.73,-100.54,2.9
30.71,-104.02,1.5
33.17,-95.01,0.011111111
34.22,-102.73,1.444444444
34.19,-101.7,-2.366666667
32.45,-100.53,6.5
31.81,-95.14,6.1
32.71,-102.66,5.775
33.7,-96.64,1.944444444
30.01,-97.16,0.144444444
33.15,-95.63,0.944444444
34.55,-101.76,4.544444444
32.75,-97.77,6.1
31.86,-97.38,2.675
32.7,-96.02,3.5
37.44,-112.48,-3.916666667
38.71,-112.95,-2.275
37.61,-109.48,-11.6
37.28,-109.56,-2.511111111
40.62,-111.78,4.9
40.4,-111.53,-3.9
39.29,-112.65,-4.1
40.17,-110.4,-5.3
40.18,-112.92,-3
40.97,-111.44,-5.4
39.36,-111.6,-4.333333333
40.36,-109.35,-6.5
37.03,-112.54,-4.766666667
41.83,-111.32,-1.5
39.56,-111.87,1.597222222
41.75,-111.8,-0.2
39.26,-111.63,1.1
37.15,-109.87,-0.444444444
39.71,-111.83,-0.388888889
39.38,-112.33,0.133333333
39.63,-113.89,-2.111111111
41.26,-111.84,1.9
40.37,-111.73,-3.291666667
38.76,-112.08,-4.077777778
41.91,-111.81,-3.222222222
40.29,-109.96,-4
39.96,-111.78,-1.611111111
40.6,-111.58,5.211111111
40.08,-111.6,-4.788888889
40.54,-112.32,-7.5
40.44,-109.52,-7.527777778
41.53,-111.15,-3.75
37.21,-112.98,-8.7
43.38,-72.6,-2.5
44.95,-72.19,-4.2
43.63,-72.98,-0.7
44.42,-72.02,-5.3
37.2,-80.41,2.525
37.09,-81.34,9.333333333
38.03,-78.52,0.6
36.82,-79.41,10
38.45,-78.94,5.344444444
36.68,-76.77,-0.333333333
37.3,-77.28,-3.4
38,-79.83,5.566666667
36.6,-78.3,-7.533333333
37.78,-79.44,10.225
38.04,-78.01,0.7
39.06,-77.89,-7.333333333
38.23,-78.12,5
38.17,-79.08,0.8
36.73,-76.6,-1.2
37.74,-77.04,-6.8
37.99,-76.78,-4.866666667
37.3,-76.7,-0.844444444
38.9,-78.47,7
36.96,-81.09,9.444444444
48.51,-122.61,-5.125
48.98,-122.79,-18.09722222
47.41,-121.76,6.6
46.72,-122.95,-6.125
48.27,-117.74,-3.266666667
48,-119.65,-5.222222222
48.97,-122.33,-14.2
48.54,-121.74,-1.083333333
47.95,-119,-3.6
47.66,-118.16,6.677777778
48.71,-121.14,-0.733333333
47.01,-123.4,-11.26388889
47.98,-122.2,-12
47.96,-124.35,-14.1
46.82,-117.88,1.05
47,-118.57,-3.2
46.51,-120.17,-8.177777778
47.14,-121.94,-4.844444444
47.33,-118.7,-2.955555556
48.61,-122.81,-13.9
47.31,-121.85,-17.8
46.76,-117.19,-10
47.22,-119.85,-8.666666667
48.65,-118.73,-3.444444444
46.31,-119.26,4.6
47.12,-118.37,1
47.23,-117.36,-2
45.68,-122.65,5.888888889
47.43,-120.31,-2.222222222
47.77,-118.72,3.5
48.47,-120.19,-4.888888889
39.27,-79.37,0.022222222
37.76,-81.19,9.7
38.98,-80.22,8.1
39.27,-80.35,1.1
39.47,-80.13,3.677777778
38.93,-80.83,8.7
38.28,-82.11,-2.922222222
38.68,-82.18,1.555555556
38.19,-81.37,-1.522222222
38.1,-81.85,-0.8
39.47,-80.86,-1.236111111
38.82,-81.71,1.125
38.8,-81.36,10.375
39.11,-78.58,-5.95
37.79,-80.31,10.23333333
38.53,-81.92,2.333333333
44.33,-91.92,-7.575
45.3,-92.36,-6.044444444
44.28,-88.44,-5.1
43.46,-89.73,-7.025
45.09,-91.49,-4.55
42.63,-89.39,-4.333333333
44.03,-88.15,-5
44.62,-88.75,-4.85
45.53,-92.02,-3
44.73,-92.46,-7.111111111
43.8,-88.45,-3.9
42.91,-88.86,-6.8
43.57,-91.23,-8.411111111
43.24,-88.12,-6.355555556
46.25,-91.8,-4.525
46.49,-90.44,1.555555556
44.12,-89.54,-6.8
42.56,-87.82,-7.4
42.83,-90.79,-6.6
43.21,-91.1,-9.8
44.09,-87.65,-4.7
45.1,-87.62,-1.633333333
44.64,-90.13,-6.7
44.17,-90.35,-4.666666667
45.13,-90.34,-6
45.18,-89.66,-3.95
43.07,-88.03,-8.4
45.89,-89.73,-2.555555556
44.54,-90.54,-4.9
43.1,-88.5,-7.5
44.89,-87.96,-3.2
44.02,-88.56,-6.8
44.98,-90.55,-7.544444444
43.73,-87.97,-5.844444444
43.53,-89.43,-5.644444444
43.05,-91.14,-3.6
42.7,-87.79,-3.911111111
45.6,-89.45,-6.555555556
45.42,-91.77,-4.111111111
43.33,-90.39,-4.5
44.85,-92.61,-4.8
44.75,-89.25,-7.777777778
45.41,-92.65,-6.377777778
44.76,-88.62,-3.2
45.82,-91.88,-5.933333333
44.95,-90.93,-3.75
44.51,-89.59,-5.3
44.88,-87.34,-4.9
44,-91.44,-8.888888889
44.14,-87.57,-0.925
43.56,-90.88,-6.555555556
45.36,-86.89,-4.1
43.17,-88.74,-5.3
44.35,-89.06,-3.333333333
42.85,-88.72,-4.333333333
43.61,-89.77,-6.5
44.39,-89.81,-11.975
43.77,-111.03,2.566666667
44.38,-108.04,-1.7
41.76,-104.82,-2.177777778
44.1,-105.12,-7.569444444
41.69,-106.41,-2.930555556
44.26,-105.49,-11.22222222
43.71,-106.64,-3.677777778
44.84,-108.4,2.333333333
43.85,-104.19,-7.15
41.63,-104.49,-3.5
43.25,-104.29,-7.322222222
44.84,-106.84,-7.486111111
44.92,-110.42,1.05
44.09,-104.61,-6.652777778
42.11,-104.95,-6.625
44.98,-110.7,-0.666666667
35.14,-111.67,-5.2
33.63,-116.16,0.5
39.35,-81.44,-2.355555556
35.74,-81.38,0.3
35.59,-88.92,3.8
32.68,-83.65,4
37.07,-88.77,-0.1
33.36,-81.96,3.6
32.13,-81.21,0
36,-84.25,1.488888889
30.59,-96.36,1.211111111
38.8,-97.65,-6.677777778
32.9,-97.02,3.9
36.77,-96.03,2.6
42.2,-75.99,-9.211111111
28.43,-81.33,-3.15
29.18,-81.05,-2.688888889
26.59,-81.86,-3.288888889
27.96,-82.54,-2.355555556
29.99,-90.25,-0.5
29.95,-94.02,1.3
29.64,-95.28,-0.3
25.92,-97.42,-0.888888889
29.54,-98.48,1.1
27.78,-97.51,-1.488888889
28.72,-96.25,2.1
38.3,-76.42,6.475
35.89,-78.78,-1.7
36.1,-79.94,-6.7
39.38,-74.42,-7.6
38.89,-79.85,0.011111111
37.32,-79.21,2.3
39.4,-77.98,-8
39.64,-79.92,-1.1
36.9,-76.19,-1.2
39.87,-75.23,-6.2
37.51,-77.32,-4.5
37.32,-79.97,-2.5
38.85,-77.03,-5.2
34.19,-79.72,3.6
34.27,-77.9,2.7
36.82,-76.03,2.75
39.67,-75.6,-6.7
32.78,-79.93,-0.3
38.52,-89.85,-8.7
32.33,-88.74,6.5
38.38,-81.59,1.8
39.28,-81.56,4.4
31.54,-82.51,0.3
33.59,-85.86,3.3
35.6,-82.56,1.1
33.95,-83.33,-0.5
33.63,-84.44,1.4
33.57,-86.75,3.8
36.47,-82.4,4.1
31.15,-81.39,-0.1
32.9,-80.04,0.5
35.22,-80.96,2.7
35.03,-85.2,-0.2
33.95,-81.12,0.5
30.48,-81.7,-0.2
35.82,-83.99,4.2
35.06,-89.99,0.2
30.68,-88.24,1.8
32.3,-86.41,2.3
34.74,-87.6,1.8
36.12,-86.69,-0.1
30.48,-87.19,1.2
32.52,-92.04,5.1
32.45,-93.84,4
30.32,-97.76,0.8
31.62,-97.23,3.6
32.85,-96.86,1.9
32.41,-99.68,3.7
34.73,-92.24,0.9
35.33,-94.36,-5.6
33.98,-98.49,2.2
35.39,-97.6,-5.1
36.2,-95.89,-4.9
36.74,-97.1,-2.7
30.54,-91.15,1.4
36.3,-99.77,-0.6
30.21,-91.99,0.1
33.45,-94.01,3.7
33.5,-90.09,4.7
37.16,-98.03,2.066666667
37.67,-95.48,-1.2
37.76,-99.97,-2
37.15,-94.5,-1.6
39.12,-94.6,-2.4
38.75,-90.37,-2.6
37.24,-93.4,-2.4
39.07,-95.63,-8
44.32,-69.8,-4.5
44.8,-68.82,-4.125
46.87,-68.02,-6.8
46.12,-67.79,-3.3
40.78,-73.88,-8.4
42.95,-78.74,-6.4
40.68,-74.17,-9.8
42.74,-73.81,-8.1
40.65,-75.45,-7.5
42.36,-71.01,-3.8
41.94,-72.68,-6.244444444
44.47,-73.15,-5.8
43.2,-71.5,-4.9
43.35,-73.62,-3
41.74,-72.65,-7.4
44.27,-71.3,-2.8
43.65,-70.3,-6.9
41.72,-71.43,-8
43.12,-77.68,-9.6
43.11,-76.1,-6.7
41.33,-75.73,-8.644444444
41.24,-76.92,-6.8
42.61,-82.82,-7.7
40.31,-88.16,-6.1
44.27,-85.4,-8.1
41.41,-81.86,-4.3
39.99,-82.88,-2.3
42.41,-83.01,-9.7
41.01,-83.67,-6.7
42.97,-83.75,-10.1
40.97,-85.21,-8.3
43.98,-84.49,-6
42.27,-84.47,-8.9
43.14,-89.35,-8.9
46.55,-87.38,-6.5
42.96,-87.9,-8.2
43.17,-86.24,-10.1
45.56,-84.79,-8.2
40.67,-89.68,-10
43.53,-84.08,-8.2
41.45,-82.72,-1.425
46.48,-84.36,-8.2
41.71,-86.32,-8.6
44.74,-85.58,-7.6
41.25,-80.67,-9.2
42.08,-80.18,-8.7
40.92,-81.43,-9.6
44.93,-89.63,-7.6
44.5,-88.11,-8
45.87,-95.39,-5.7
46.84,-92.21,-8.7
46.93,-96.81,-5.1
47.94,-97.18,-4.2
48.56,-93.4,-6.6
46.93,-98.67,-3.4
43.88,-91.25,-8.5
44.88,-93.23,-7.9
41.47,-90.52,-9.3
48.97,-97.24,-1.652777778
43.9,-92.49,-8.7
45.54,-94.05,-7.5
45.46,-98.41,-4.3
41.53,-93.65,-9.5
40.96,-98.31,-10.5
44.4,-98.22,-7.8
43.15,-93.33,-8.9
41.99,-97.44,-9.4
41.31,-95.9,-7.5
42.39,-96.38,-7.4
43.59,-96.73,-7.2
44.9,-97.15,-4.7
41.11,-92.45,-8.3
44.87,-91.49,-8.7
44.55,-95.08,-7.4
45.77,-92.69,-8.055555556
34.43,-100.28,1
33.31,-104.51,3.9
31.94,-102.19,3.7
31.37,-100.49,3.1
31.78,-103.2,0.2
33.65,-101.81,-0.8
31.81,-106.38,0.6
35.23,-101.71,-0.1
35.04,-106.62,0.1
36.45,-103.15,-4.2
35.65,-105.14,-7.2
37.44,-105.86,-8.9
39.76,-104.87,-2.577777778
39.37,-101.7,-12
39.13,-108.54,-6.4
38.05,-103.51,-2.8
37.26,-104.34,-3
34.93,-100.89,1.188888889
33.81,-118.15,-3.266666667
39.3,-114.85,-4.3
35.43,-119.05,-0.6
37.37,-118.36,-7.7
33.62,-114.71,-0.6
32.13,-110.96,-1.7
34.85,-116.79,-0.177777778
39.34,-112.59,-4.133333333
36.07,-115.16,-8.4
38.37,-110.72,-8.625
33.94,-118.39,-2.7
34.77,-114.62,-3.6
33.43,-112,-3.9
34.65,-112.42,-4.3
39.48,-119.77,-11.6
32.73,-117.18,-0.7
34.43,-119.84,-1.6
35.03,-110.72,-0.6
38.51,-121.5,-1.9
36.66,-121.61,-3.1
37.62,-122.36,-1.8
37.89,-121.23,-1.5
37.41,-122.05,-2.2
37.62,-120.95,-1.133333333
38.56,-121.42,-2.6
37.77,-122.43,-2.1
34.9,-120.45,-3
46.77,-100.76,-5.6
46.8,-102.8,-6.2
48.26,-101.27,-7.2
40.17,-103.22,-9.455555556
41.15,-104.81,-11.8
40.52,-101.03,-6.583333333
42.82,-108.73,-7.7
41.31,-105.67,-0.3
41.12,-100.67,-8.2
44.38,-100.29,-8
41.59,-109.05,-4.6
41.87,-103.59,-7.6
44.77,-106.97,-7.7
42.88,-100.55,-12.6
45.81,-108.54,-9.8
47.05,-109.46,-3
46.43,-105.88,-6.4
41.81,-107.2,-2.622222222
42.9,-106.46,-7.8
44.04,-103.05,-6.8
40.83,-115.79,-5.5
40.78,-111.97,-5.3
40.9,-117.81,-3.3
44.84,-117.81,0.8
43.57,-116.24,-7.4
45.79,-111.16,-9.5
42.54,-113.77,-2.1
45.96,-112.5,-2.8
48.6,-112.38,-7.3
46.64,-113.18,-13.55
47.31,-119.52,-2.6
47.47,-111.38,-4.9
46.61,-111.96,-8.6
43.52,-112.07,-1.8
46.37,-117.02,-11.2
45.7,-110.44,-8.4
46.92,-114.09,-2.4
45.69,-118.85,-4.4
42.92,-112.57,-1.5
47.62,-117.53,-2.6
47.19,-114.89,-6.75
46.09,-118.29,-8.1
40.07,-118.57,-2.4
40.72,-114.04,-1.125
40.81,-124.16,0.8
40.15,-122.25,-4.2
48.79,-122.54,-15.4
45.62,-121.17,-5.3
44.13,-123.22,-1
42.38,-122.87,-7
46.97,-122.9,-7.7
45.59,-122.6,-5.3
44.26,-121.14,-1.644444444
44.91,-123,-4.9
47.44,-122.31,-17
42.6,-123.36,-12.6
46.57,-120.54,-5.3
43.41,-124.24,-1.144444444
39.23,-106.32,-3.175
39.19,-103.72,-3.2
31.46,-109.61,-1.2
32.33,-104.26,4.3
38.81,-104.69,-6.6
36.02,-102.55,2.3
37.71,-113.09,-1.3
34.05,-118.24,-1.2
34.23,-111.34,-5.75
36.78,-119.72,-3.9
35.67,-120.63,-3.6
35.07,-77.05,2.6
38.34,-75.51,-1.2
39.17,-76.68,-3.3
30.4,-84.33,0.3
36.96,-86.42,-2.4
39.04,-84.67,0.4
39.91,-84.22,-1.8
38.04,-87.52,0.4
39.71,-86.28,-4.7
38.04,-84.61,-0.8
38.18,-85.74,-2.5
39.84,-89.68,-4.7
39.94,-81.89,-2
32.52,-84.94,2.1
34.5,-82.71,1.2
31.18,-90.47,3.9
34.99,-99.05,-0.8
31.24,-94.75,2.5
39.94,-91.19,-7.1
33.22,-92.81,5.288888889
38.88,-98.81,-6.9
48.21,-106.62,-4.3
48.17,-103.64,-5.5
41.16,-73.13,-6.266666667
44.2,-72.58,-4.3
44.94,-74.85,-5.144444444
40.78,-73.97,-8.6
42.27,-71.87,-6.3
43.99,-76.02,-5.4
42.19,-89.09,-9.5
40.48,-80.21,-1.1
42.4,-90.7,-7.222222222
42.55,-92.4,-8.7
42.88,-97.36,-8.466666667
40.08,-95.59,-1.8
46.9,-95.07,-5.2
