Figure 2. Change in First Leaf Date Between 1951-1960 and 2006-2015,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: Schwartz, 2016",,
Web update: August 2016,,
Units: days,,
,,
LAT,LONG,Change in first leaf date
47.32,-116.58,-3.222222222
43.24,-116.38,4.4
41.2,-90.74,-4.5
41.78,-88.31,-8.122222222
37.73,-89.17,6.4
39.48,-88.17,-5.75
41.74,-87.78,-7.5
40.14,-87.65,0.05
37.99,-89.19,-0.1
38.38,-88.33,4.033333333
41.9,-90.15,-4.5
40.95,-90.39,-7.8
40.47,-87.69,-5.8
39.73,-90.2,3.4
39.1,-90.34,7.966666667
40.58,-90.97,-3.488888889
40.15,-89.34,-2.666666667
40.91,-89.03,-6.2
40.94,-90.64,-5.977777778
41.8,-89.97,-4.866666667
42.1,-89.98,-5.3
38.35,-88.85,6.625
41.33,-88.91,-3.822222222
39,-87.62,-1.8
39.62,-87.67,0.677777778
40.88,-88.64,-4.3
42.4,-89.99,-7.5
39.79,-88.29,0.9
40.08,-88.24,-5.4
39.44,-90.38,5.4
39.45,-88.6,-0.888888889
41.64,-84.99,-7.1
40.67,-84.93,2.844444444
39.42,-85.01,-2.666666667
39.17,-85.92,0.777777778
40.3,-86.51,-7.355555556
41.56,-85.88,-7.4
39.79,-85.76,3.288888889
39.72,-86.07,-2.972222222
41.61,-86.73,-5.866666667
40.58,-85.66,-8.255555556
39.4,-86.45,1.766666667
37.93,-87.9,-5.361111111
39.89,-85.4,0.1
38.89,-86.55,6.6
38.56,-86.49,-0.472222222
38.36,-87.59,6.027777778
41.07,-86.21,-9.666666667
39.6,-85.45,-0.877777778
38.98,-85.9,-1.975
38.55,-86.79,0.533333333
39.28,-86.77,3.555555556
37.95,-86.77,-2.3
40,-86.35,-4.8
41.03,-86.59,-7.122222222
41.07,-92.79,-3.4
42.75,-92.8,-7.7
41.42,-95,-9.069444444
41.88,-92.28,-7.95
42.26,-90.42,-5.422222222
40.76,-92.44,-6.35
42.04,-93.89,-3.8
43.1,-93.8,-2.55
42.07,-94.85,-4.6
42.3,-91,-4.8
42.06,-95.84,-7.3
42.05,-91.59,-9.022222222
43.06,-92.67,-7.4
42.76,-95.54,-5.7
40.72,-95.02,-2.4
41.79,-90.26,-8
43.39,-92.09,-6.611111111
43.3,-91.8,-8.8
42.04,-95.33,-5.5
42.54,-90.65,-9.85
42.78,-91.45,-3.75
41.02,-91.96,-9.5
42.85,-91.82,-7.9
43.28,-93.63,-9.625
42.58,-94.2,-5.777777778
41.3,-94.46,-9.075
41.72,-92.75,-3.7
42.36,-92.76,-8.5
41.67,-94.5,-2.8
42.79,-91.1,-8.9
42.76,-93.2,-8.2
41.65,-95.33,-2.8
43,-96.49,-4.966666667
41.37,-93.65,-3.2
41.61,-91.51,-9.555555556
42.52,-93.25,-6.2
42.03,-94.41,-4.2
40.73,-91.97,-6.175
41.57,-90.4,-5.9
42.78,-96.15,-5.277777778
