"Figure 4. Change in Unusually Hot Temperatures in the Contiguous 48 States, 1948-2015",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2016",,,
Web update: August 2016,,,
Units: Change in number of days hotter than 95th percentile,,,
,,,
State,Lat,Long,Change in 95 percent Days
ID,44.0425,-111.2739,11.1538512
ID,44.5733,-116.6753,18.54219949
ID,47.6822,-116.7967,-13.37098026
ID,46.0931,-115.5356,0
ID,42.9403,-115.3231,22.55815513
ID,42.5872,-111.7275,39.13299233
ID,42.5972,-114.1378,11.52685422
ID,42.3528,-114.5739,0
ID,42.7325,-114.5192,10.63682864
ID,47.5339,-116.1222,-8.511352801
ID,42.1231,-111.3133,16.67902813
ID,43.9181,-113.6317,0
ID,44.5664,-113.8953,10.89763985
ID,46.7281,-116.9558,9.231457801
ID,44.9714,-116.2933,0
ID,42.2342,-113.8981,0
ID,44.0764,-116.9311,0
ID,48.9994,-116.4992,0
ID,48.3511,-116.8353,8.301790281
ID,48.2942,-116.5628,9.469309463
IL,41.2019,-90.7417,-18.04092072
IL,37.4814,-89.2344,0
IL,41.7806,-88.3092,0
IL,39.2883,-89.8703,-12.16165522
IL,39.4761,-88.1653,0
IL,40.1389,-87.6483,-14.1112532
IL,39.8289,-88.9506,-10.22785836
IL,41.8472,-89.5047,-19.24249607
IL,37.9878,-89.1931,0
IL,41.1739,-90.035,-9.888746803
IL,37.7408,-88.5244,-24.90993171
IL,39.1611,-89.4919,0
IL,40.4664,-87.685,0
IL,39.7353,-90.2153,0
IL,40.5839,-90.9686,0
IL,40.1514,-89.3381,-15.52813299
IL,42.2636,-88.6078,-10.74980786
IL,38.0844,-88.5425,0
IL,40.9125,-89.0339,0
IL,40.9442,-90.6381,0
IL,41.8039,-89.9744,-12.59462916
IL,42.0981,-89.9842,9.109974425
IL,38.3483,-88.8533,-24.57161125
IL,38.7003,-88.0817,-10.92327366
IL,41.3283,-88.9106,-12.82225064
IL,39.0028,-87.6225,-12.94501279
IL,39.3686,-89.0867,0
IL,39.6186,-87.6672,-11.71611253
IL,40.8778,-88.6364,0
IL,40.1347,-90.4792,-19.82352941
IL,38.1167,-89.7167,-17.61011822
IL,40.0839,-88.2403,0
IL,41.5519,-89.5989,-16.82480818
IL,39.4411,-90.3789,-12.63299233
IL,39.4458,-88.5961,-10.46803069
IN,40.1117,-85.7164,0
IN,41.6397,-84.9897,-12.39257321
IN,40.6683,-84.9305,-9.154731458
IN,39.1742,-86.5214,-10.34015495
IN,39.4239,-85.0128,0
IN,39.8667,-85.1833,-32.12731084
IN,39.1661,-85.9228,-14.26598465
IN,40.615,-86.6661,-12.44592491
IN,41.5575,-85.8825,0
IN,39.6439,-86.8767,-24.05030594
IN,39.7858,-85.7611,-11.9629156
IN,41.5422,-87.2881,-13.87991975
IN,41.6117,-86.7297,-17.76598465
IN,38.7369,-85.3942,-22.51438077
IN,40.58,-85.6586,-9.406649616
IN,37.9286,-87.8956,0
IN,38.8894,-86.5519,-22.38618926
