"Figure 1. Land Loss Along the Atlantic Coast, 1996-2011",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2013",,,
Web update: May 2014,,,
Units: Square miles,,,
,,,
Area,1996-2001,1996-2006,1996-2011
Mid-Atlantic,-1.560934114,5.070950919,3.545808482
Southeast,8.376642421,13.02990794,16.43185473
