"Figure 5. Change in Unusually Cold Temperatures in the Contiguous 48 States, 1948-2015",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2016",,,
Web update: August 2016,,,
Units: Change in number of days colder than 5th percentile,,,
,,,
State,Lat,Long,Change in 5 percent Days
GA,32.6875,-84.5197,0
GA,31.4461,-83.4767,0
GA,34.5786,-83.3319,-7.989769821
GA,33.4028,-82.6222,0
GA,33.7264,-82.7058,-13.71746919
GA,31.2514,-82.3128,0
GA,32.8789,-85.1808,-8.504895105
ID,42.9536,-112.8253,0
ID,43.5936,-115.9236,-15.03964194
ID,44.0425,-111.2739,-18.79459565
ID,44.5733,-116.6753,-9.794117647
ID,47.6822,-116.7967,-17.62093015
ID,46.0931,-115.5356,-11.82480818
ID,42.9403,-115.3231,-10.68755587
ID,42.5872,-111.7275,0
ID,42.5972,-114.1378,0
ID,42.3528,-114.5739,-9.668531469
ID,42.7325,-114.5192,0
ID,47.5339,-116.1222,-10.13851981
ID,42.1231,-111.3133,-8.001278772
ID,43.9181,-113.6317,0
ID,44.5664,-113.8953,0
ID,46.7281,-116.9558,0
ID,44.9714,-116.2933,-6.457800512
ID,42.2342,-113.8981,-7.512787724
ID,44.0764,-116.9311,-9.962915601
ID,48.9994,-116.4992,-14.11820707
ID,48.3511,-116.8353,-10.1483376
ID,48.2942,-116.5628,-12.00127877
IL,41.2019,-90.7417,0
IL,37.4814,-89.2344,0
IL,41.7806,-88.3092,0
IL,39.2883,-89.8703,0
IL,39.4761,-88.1653,0
IL,40.1389,-87.6483,0
IL,39.8289,-88.9506,0
IL,41.8472,-89.5047,0
IL,37.9878,-89.1931,0
IL,41.1739,-90.035,0
IL,37.7408,-88.5244,0
IL,39.1611,-89.4919,-6.31202046
IL,40.4664,-87.685,0
IL,39.7353,-90.2153,0
IL,40.5839,-90.9686,0
IL,40.1514,-89.3381,0
IL,42.2636,-88.6078,0
IL,38.0844,-88.5425,12.17160282
IL,40.9125,-89.0339,0
IL,40.9442,-90.6381,0
IL,41.8039,-89.9744,0
IL,42.0981,-89.9842,0
IL,38.3483,-88.8533,0
IL,38.7003,-88.0817,0
IL,41.3283,-88.9106,0
IL,39.0028,-87.6225,0
IL,39.3686,-89.0867,0
IL,39.6186,-87.6672,0
IL,40.8778,-88.6364,0
IL,40.1347,-90.4792,0
IL,38.1167,-89.7167,0
IL,40.0839,-88.2403,0
IL,41.5519,-89.5989,0
IL,39.4411,-90.3789,0
IL,39.4458,-88.5961,0
IN,40.1117,-85.7164,0
IN,41.6397,-84.9897,0
IN,40.6683,-84.9305,0
IN,39.1742,-86.5214,0
IN,39.4239,-85.0128,-9.058555852
IN,39.8667,-85.1833,0
IN,39.1661,-85.9228,0
IN,40.615,-86.6661,0
IN,41.5575,-85.8825,0
IN,39.6439,-86.8767,0
IN,39.7858,-85.7611,0
IN,41.5422,-87.2881,0
IN,41.6117,-86.7297,0
IN,38.7369,-85.3942,0
IN,40.58,-85.6586,0
IN,37.9286,-87.8956,-8.356258045
IN,38.8894,-86.5519,0
IN,38.5556,-86.4858,-9.176470588
IN,38.3567,-87.5906,0
IN,41.0664,-86.2097,-9.574168798
IN,39.7594,-87.2269,0
IN,39.6042,-85.4528,0
IN,38.6158,-86.0856,0
IN,38.6886,-85.785,-8.540481942
IN,38.9822,-85.8989,-8.058741259
IN,38.5528,-86.7944,0
IN,38.6489,-87.1989,0
IN,41.1947,-87.0578,-12.39632389
IN,39.9961,-86.3542,0
IN,41.0267,-86.5867,0
IA,41.0656,-92.7867,0
IA,43.0683,-94.3053,0
IA,41.8814,-92.2764,0
IA,43.0603,-92.6717,0
IA,40.7244,-95.0192,0
IA,41.7947,-90.2639,0
IA,43.4036,-94.7472,0
IA,41.0211,-91.9553,0
IA,42.8503,-91.8158,0
IA,43.2844,-93.6306,0
IA,42.5836,-94.2006,0
IA,41.3656,-93.6481,0
IA,42.5189,-93.2536,0
IA,42.7817,-96.1458,0
IA,41.6381,-95.7883,0
IA,40.7053,-94.2428,0
IA,40.9486,-91.5647,0
IA,43.0453,-92.3122,0
IA,43.43,-96.1686,0
IA,42.3969,-94.6292,0
IA,42.6469,-95.1933,-8.863171355
IA,42.0356,-92.5806,0
IA,41.2825,-91.7078,0
KS,37.1942,-99.7633,0
