Figure 5. Change in Annual Burned Acreage by State Between 1984-1999 and 2000-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: MTBS, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web update: August 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: acres per square mile (trend); acres (annual data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year/Trend,AL,AK,AZ,AR,CA,CO,DE,FL,GA,HI,ID,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NJ,NM,NY,NC,ND,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WV,WI,WY
1998,3945.3,174214.1,4527.5,16111.3,135387.2,3186,0,376697,22772.2,0,123855.2,0,0,63641.1,725.4,9227.5,0,0,0,3309.4,29906.7,1192,553,62903.1,8755.6,72861.6,0,42657,0,859.4,1236.6,0,4622.2,67038.4,0,0,1115.5,0,108141.9,81705.4,2100.2,78401,2723,0,0
1999,2624.8,860355.3,57552.9,1531.8,733754.9,14431.5,0,267881.1,46336.6,0,391753.5,0,0,0,133564.7,11722.2,0,0,0,4957,11079.9,821.1,4496.9,83771,21821.9,1720836.7,13186.5,52055.2,0,7848.4,63362,0,0,60746.9,0,1077.2,24992.4,5558.4,27635.4,139643.8,3881.6,10419,74574.9,0,43245.8
2000,7373.9,771115.6,74146.8,7974.4,224670.6,90160.3,0,106168.8,20591.3,2492.3,1296712.4,0,0,4297.3,39628.1,23796.3,0,0,0,5270.8,44757.5,16847.4,2731.5,748108.6,40383.6,573597.6,0,380163.3,0,17610.1,6277.7,0,23573,343959.7,0,0,198241.6,27469.2,64682.5,205085.1,2706.9,319227.9,8547.2,0,341836.1
2001,2016.4,102371.3,10969.9,1585.6,285285.2,9689.1,0,59959.4,20591.7,0,156051.4,0,0,6052.6,124115.3,12510.5,539.2,0,0,0,0,4207.8,0,138129.8,5451.8,584446.5,1696.6,33703,0,10716.9,0,0,1193.8,372248.2,0,6941.8,36161.4,28462,33889.5,104907.6,711.4,200622,62077.9,0,50791.6
2002,1884.8,1957572.5,601534.2,1511.4,484035.4,421007.2,1227.5,3831.5,124972,2478.1,87797.5,0,0,54448,1145.4,17577.3,0,572.4,0,0,25726.9,1938.2,1073.1,94959.2,32920.4,35379.5,3094.2,273927,0,6125.9,34762.4,0,14528.1,946089.5,0,8018,71888.3,0,14898.3,270284.5,11640.6,79425.2,0,0,106516.6
2003,0,290523.9,161278.7,2341.5,896891.6,17373.2,0,6205.5,0,5402,283122.6,0,0,7309.1,0,794.4,0,0,0,802.4,111846.8,695.9,544.8,752083.9,1047.4,13785.9,0,208595.5,0,2317.2,9808.5,1042.9,10510.2,145250.8,0,3723.1,27133.4,1185,42041.2,98967.1,1795.9,191063.7,0,0,67553.1
2004,2295,6485661.1,215370.5,15227.3,238035,17623.6,0,54643.4,0,0,1091.4,0,0,15960.1,0,18410.9,0,1610.6,0,0,17675.5,518.3,5009.8,12240.3,0,33796.1,0,74565.9,0,0,8878.6,0,140462.5,16789.4,1837.2,1469,1327.1,1234.9,16561.5,78616,581.2,70393.8,0,0,4650.6
2005,16625,4681447.4,857780.4,15292.6,234114.5,18278.6,0,69453.3,0,20077.5,551255.4,0,4199.2,0,8983.6,43695.8,0,5223.1,762.4,2108.6,4540.8,13100.4,14041.3,84214.6,0,1030413.8,0,31309,0,890,6067.9,0,194159.6,131109.6,510.1,10393.5,8794.8,3078.7,108072.8,265871.2,695.6,116295.1,2569,3466.9,14011.8
2006,11592.4,260887.9,143568,32005.8,677934.9,29715.5,0,97183.9,0,0,858165.6,0,0,31448.6,12144.1,6090.1,703.6,0,0,5771.2,43985.4,24773.7,9760.8,793077.8,69207.3,1306735.3,0,437661.4,943.9,2890.9,13715,0,135556.2,452286.7,1791.4,729.1,79550.9,4218.9,1025300.5,309342.8,11928.6,374139.3,970.9,0,217304.3
2007,12538.4,475707.5,82676.7,11645.4,988388,9324.2,0,442702.6,489032.3,13221.2,1966350.7,0,0,9050.6,7548.8,567.8,0,4183.8,0,19313.4,64760,9672.7,4618.4,624461.6,3836,847067.2,18020.8,30829.4,0,19646.3,2342.8,0,28137.5,553369,0,664.3,45670.2,5851.4,22275.6,606142.6,4653.3,228384.6,0,1622.1,75067.3
2008,32.5,62801.1,94172.9,0,1349904.9,96682.3,0,78718.7,4971.4,0,142160.3,0,0,25860.9,1174.8,5257.7,0,0,0,1345.3,1605.8,8949.6,0,137734.5,0,72013.4,1815.5,216595.3,2225.2,52344.8,2518.4,0,30477.9,184630.7,2003.4,2265.2,0,3497.4,770498,12468.7,17384.9,105628.4,677.6,0,94836.9
2009,0,1426517.7,179961.5,0,411909,28428.7,0,51649.7,734,8271.8,9638.7,0,0,14578.7,2485.9,13369.2,0,4884.5,0,1510.9,4143.8,664.8,6555.3,27662.3,0,24582.9,0,387951,0,11780.2,1103.1,3258.6,300470.6,82051.7,2818.1,18138.1,1172.8,2083.7,280295.1,103986.5,0,67913.8,1752.8,555,22417.4
2010,0,530397.8,47785.3,5675.9,79910.6,24687.1,0,16720.6,2185.9,0,615704,1408.4,0,22797.4,7833.6,19778.8,0,0,0,8683.2,7136.2,10653.5,7420.3,38854.9,0,16357.1,6065.5,59002.9,1018.9,1876.2,0,0,40702.8,83260.1,0,2781.5,0,901.4,71451.8,51968,0,61436.4,9551.5,0,78634.1
2011,12915.2,237385.2,1015827.6,21685.2,150196.6,125339.1,0,226731.4,394252.5,0,357295.3,2213.4,0,51274,1033.9,21115,0,7222.7,0,839.4,116910,8165.7,35424.3,143373.8,16940.2,422591.6,0,1067305.7,0,78369.8,0,0,277685.3,287703,0,5556,26508,970.7,2767892.5,46270.9,14362.9,24436,0,0,107379.4
2012,1423.3,253185.1,171965.5,7358.6,733148.6,207699.9,0,66374.8,589.1,2028.1,1790946.5,0,0,5119.1,1928.5,3521.4,0,0,0,22356.5,14933.3,1424.3,21552.1,944981.9,253362.4,688588.8,664.9,355693.9,1066.7,1301.8,12451.2,0,136086.6,1240455.5,810.1,0,126993.7,2366.4,89753.9,412937.4,44698.2,355246.8,3668.9,0,431774.8
2013,0,1094157.3,82612.1,2994.4,543065.5,130876.3,0,47378,0,0,716935.2,0,0,5237.8,621.8,14507.1,0,0,0,0,4692.3,2329.9,0,70025,0,157747.9,0,175537.5,0,2013.1,0,0,8487.5,333244.3,0,0,11737.6,1206.8,10758,62465,0,142851.2,2534,7526.2,40476.9
2014,3566.6,224381,176860,4347,523795.8,20334.8,0,100055.4,6776.4,0,181864.2,0,0,14907.9,0,12132.4,0,0,0,0,0,5875.1,655.6,19804.6,0,67631.6,2835.6,29723.4,0,1468.4,0,0,105463,889094.1,946.7,0,1271.8,1105.2,58641.2,21618.6,821.9,415041.2,0,0,3132.4
