"Figure 2. Land Submergence Along the Atlantic Coast, 1996-2011",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2013",,,
Web update: May 2014,,,
Units: Square miles,,,
,,,
Area,1996-2001,1996-2006,1996-2011
Dry land --> Open water,2.06306007,3.517661629,5.92647625
Non-tidal wetland --> Open water,0.155328929,2.374412912,3.354340384
Tidal wetland --> Open water,4.597319308,12.20878432,10.69684658
